2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, LEAVE, Leave credit created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LEAVE, Leave credit created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, LEAVE, Leave credit created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, LEAVE, Leave credit created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LEAVE, Leave credit created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-24 14:50:22, SHIFT, Shift created! 
2019-10-24 14:50:22, SHIFT, Shift created! 
2019-10-24 14:50:22, SHIFT, Shift created! 
2019-10-24 14:50:22, LOAN, Loan created! 
2019-10-24 14:50:22, SHIFT, Shift created! 
2019-10-24 14:50:22, SHIFT, Shift created! 
2019-10-24 14:50:22, LOAN, Loan created! 
2019-10-24 14:50:22, BACKUP, Database backup created! 
2019-10-24 14:50:22, SHIFT, Shift created! 
2019-10-24 14:50:22, SHIFT, Shift created! 
2019-10-24 14:50:22, SHIFT, Shift created! 
2019-10-24 14:50:22, SHIFT, Shift created! 
2019-10-24 14:50:22, LOAN, Loan created! 
2019-10-24 14:50:22, SHIFT, Shift created! 
2019-10-24 14:50:22, SHIFT, Shift created! 
2019-10-24 14:50:22, LOAN, Loan created! 
